,Freq(Hz),NF(DB),NF(DEG),S21(DB),S21(DEG),S11(DB),S11(DEG),T-Eff(DB),T-Eff(DEG)
34,4400000000,5.7827525,0,8.4613018,142.47441,-0.1801108,-47.72142,808.17926,0
35,4500000000,5.3796568,0,8.4142828,141.66304,-0.19785488,-48.762199,710.83771,0
36,4600000000,7.2826686,0,8.384696,140.90591,-0.19826613,-49.738766,1261.1896,0
37,4700000000,4.2571716,0,8.3436632,140.07701,-0.19173163,-50.755733,482.88556,0
38,4800000000,6.4700685,0,8.2923145,139.35861,-0.20101757,-51.615108,996.48535,0
39,4900000000,5.8165832,0,8.2472925,138.62825,-0.22505468,-52.5578,816.76733,0
40,5000000000,5.250339,0,8.1949968,137.89586,-0.24602692,-53.543739,681.47559,0
41,5100000000,6.5701432,0,8.1352339,137.11206,-0.25794175,-54.496334,1026.4741,0
42,5200000000,5.471889,0,8.0768623,136.33301,-0.27783912,-55.448719,732.32013,0
43,5300000000,5.3892365,0,8.0242672,135.6722,-0.3067348,-56.321667,713.04785,0
44,5400000000,6.5966516,0,7.9736443,135.05618,-0.32354802,-57.139954,1034.5342,0
45,5500000000,4.9926486,0,7.9132133,134.32127,-0.33080587,-58.027199,625.50946,0
46,5600000000,5.8530321,0,7.85286,133.62953,-0.36141089,-58.892044,826.09515,0
47,5700000000,6.4338927,0,7.7961864,133.03749,-0.39928365,-59.775085,985.81378,0
48,5800000000,4.7509007,0,7.7189765,132.36089,-0.4152931,-60.696442,575.94049,0
49,5900000000,7.0875235,0,7.6475539,131.66351,-0.44008407,-61.402874,1193.0315,0
50,6000000000,4.825304,0,7.631021,130.99969,-0.43273351,-62.343029,590.90363,0
51,6100000000,7.5154338,0,7.5723953,130.30461,-0.4225103,-63.501907,1346.5957,0
52,6200000000,5.2338614,0,7.4887719,129.61392,-0.47963503,-64.143044,677.79669,0
53,6300000000,6.684783,0,7.4395127,129.02887,-0.49911693,-64.81488,1061.6874,0
54,6400000000,6.2659588,0,7.3919463,128.47693,-0.52335334,-65.636223,937.42206,0
55,6500000000,4.8244848,0,7.3243685,127.87259,-0.54343301,-66.457062,590.73755,0
56,6600000000,6.9026599,0,7.2743387,127.2355,-0.54408258,-67.236504,1131.2288,0
57,6700000000,4.7552347,0,7.2196317,126.54446,-0.55452198,-68.068367,576.80518,0
58,6800000000,6.1850824,0,7.1597662,125.9677,-0.58471304,-68.835129,914.77582,0
59,6900000000,6.3910403,0,7.1016765,125.40903,-0.59775025,-69.626114,973.28699,0
60,7000000000,4.9244285,0,7.0352798,124.68963,-0.60413343,-70.443985,611.24078,0
61,7100000000,6.5724101,0,6.9834929,124.0648,-0.62639213,-71.161362,1027.1614,0
62,7200000000,6.095789,0,6.9262166,123.60702,-0.65811688,-71.883156,890.25781,0
63,7300000000,5.0204496,0,6.8527393,123.03499,-0.67100376,-72.651573,631.38885,0
64,7400000000,6.8164029,0,6.8035412,122.33764,-0.66909081,-73.415314,1103.2795,0
65,7500000000,6.0041842,0,6.7571712,121.70993,-0.68083262,-74.224228,865.62366,0
66,7600000000,5.7674236,0,6.6885266,121.17937,-0.7034353,-74.943344,804.31,0
67,7700000000,6.4452519,0,6.6288738,120.57311,-0.7134642,-75.689957,989.15515,0
68,7800000000,5.5917764,0,6.570015,119.96747,-0.72805876,-76.385033,760.93445,0
69,7900000000,6.3290062,0,6.5112333,119.45856,-0.7513954,-77.048592,955.37067,0
70,8000000000,6.1018395,0,6.456275,118.98082,-0.76495236,-77.732475,891.90326,0
71,8100000000,4.922545,0,6.3901095,118.31072,-0.76948392,-78.514793,610.84998,0
72,8200000000,7.2823424,0,6.3402939,117.67374,-0.78217971,-79.210121,1261.073,0
73,8300000000,5.5270286,0,6.2828717,117.23927,-0.81336707,-79.845901,745.38263,0
74,8400000000,5.772212,0,6.2072883,116.82152,-0.83814889,-80.444717,805.51721,0
75,8500000000,6.6045337,0,6.1596656,116.23407,-0.84229094,-81.105568,1036.9402,0
76,8600000000,5.3510213,0,6.1014152,115.68632,-0.85998929,-81.79847,704.26038,0
77,8700000000,4.8880134,0,6.0377731,115.207,-0.87528276,-82.478249,603.71564,0
78,8800000000,5.8808508,0,5.9737148,114.64738,-0.88498902,-83.143448,833.26721,0
79,8900000000,5.3702817,0,5.9113307,114.0526,-0.89691889,-83.789803,708.67963,0
80,9000000000,5.3605409,0,5.8577123,113.61551,-0.92125982,-84.349586,706.44208,0
81,9100000000,5.4632697,0,5.8005409,113.23796,-0.9415741,-84.912125,730.29315,0
82,9200000000,5.4252114,0,5.731781,112.68697,-0.95066231,-85.539268,721.39117,0
83,9300000000,5.9353938,0,5.6831675,112.07336,-0.95713764,-86.243546,847.4632,0
84,9400000000,4.9128704,0,5.6210346,111.65829,-0.97392589,-86.851089,608.84546,0
85,9500000000,6.8729439,0,5.521328,111.35427,-1.065502,-87.511497,1121.5374,0
86,9600000000,6.6977782,0,5.4944797,110.73724,-1.0122519,-87.941704,1065.7382,0
87,9700000000,6.3562312,0,5.444418,110.26887,-1.0218676,-88.542595,963.20221,0
88,9800000000,6.4444127,0,5.3771396,109.8273,-1.0410676,-89.127922,988.9079,0
89,9900000000,6.8972721,0,5.3191838,109.31496,-1.0490341,-89.772369,1129.4667,0
90,10000000000,5.8922091,0,5.2477665,108.71277,-1.0573274,-90.420303,836.2088,0
91,10100000000,7.0946999,0,5.1841631,108.19347,-1.0939821,-91.078407,1195.484,0
92,10200000000,6.9414825,0,5.1510644,107.88639,-1.0941484,-91.437927,1143.9905,0
93,10300000000,6.1264772,0,5.0822921,107.46629,-1.1061789,-91.952278,898.62732,0
94,10400000000,8.0828943,0,5.0262613,106.95153,-1.1167135,-92.505867,1575.0367,0
95,10500000000,5.9626989,0,4.9816732,106.47823,-1.1233896,-93.147331,854.63733,0
96,10600000000,7.5359626,0,4.8995109,106.08488,-1.1553943,-93.628784,1354.35,0
97,10700000000,8.1761417,0,4.8406405,105.60968,-1.1731369,-94.137833,1615.5142,0
98,10800000000,5.1547599,0,4.7849097,105.17289,-1.1787876,-94.688332,660.32904,0
99,10900000000,8.1590786,0,4.7334151,104.85356,-1.1933266,-95.090805,1608.0422,0
100,11000000000,8.0126276,0,4.6857667,104.46496,-1.1987306,-95.56543,1545.1042,0
101,11100000000,5.7410774,0,4.6047549,103.95582,-1.2146041,-96.144066,797.69153,0
102,11200000000,8.7941198,0,4.5470004,103.4687,-1.2328942,-96.634209,1906.8984,0
103,11300000000,6.8109226,0,4.5050883,103.11981,-1.2449681,-97.112579,1101.5226,0
104,11400000000,6.6769762,0,4.4355502,102.7846,-1.2553949,-97.540665,1059.2598,0
105,11500000000,9.4257631,0,4.3830833,102.29287,-1.2590419,-98.052635,2250.8225,0
106,11600000000,5.558126,0,4.3476353,101.95338,-1.2542564,-98.51532,752.823,0
107,11700000000,8.6811924,0,4.2972569,101.53069,-1.2252561,-99.051155,1850.51,0
108,11800000000,8.4871941,0,4.211072,101.08866,-1.2950668,-99.482056,1756.9979,0
109,11900000000,5.4623551,0,4.1399794,100.7218,-1.3048416,-99.955238,730.07831,0
110,12000000000,9.5449772,0,4.0894289,100.38554,-1.3156434,-100.24493,2321.5342,0
111,12100000000,7.3114538,0,4.0553164,100.22089,-1.3501673,-100.57224,1271.505,0
112,12200000000,6.3759174,0,3.9844952,99.566681,-1.3241856,-101.23814,968.89569,0
113,12300000000,9.9304132,0,3.9308541,99.147957,-1.3465302,-101.61748,2563.9038,0
114,12400000000,6.5081978,0,3.8897018,98.739159,-1.3547819,-102.24718,1007.83,0
115,12500000000,5.9607544,0,3.7476976,98.443916,-1.3830174,-102.73523,854.12494,0
116,12600000000,10.332006,0,3.7616355,97.994949,-1.3617992,-102.8402,2840.3909,0
117,12700000000,6.8843036,0,3.7353659,97.599564,-1.3638772,-103.45229,1125.2344,0
118,12800000000,8.3335629,0,3.6373105,97.220848,-1.4000478,-103.83194,1685.8516,0
119,12900000000,9.856101,0,3.605231,96.847466,-1.413089,-104.15365,2515.4863,0
120,13000000000,5.4670067,0,3.5387518,96.536209,-1.4232515,-104.71697,731.17145,0
121,13100000000,9.2565937,0,3.4595912,96.386757,-1.482183,-104.62384,2153.7532,0
122,13200000000,7.4904399,0,3.4446931,95.681236,-1.4168936,-105.41758,1337.204,0
123,13300000000,6.601419,0,3.4329715,96.046745,-1.4172146,-104.61147,1035.989,0
124,13400000000,8.9305906,0,3.3382502,94.801689,-1.4724332,-106.43027,1977.0288,0
125,13500000000,7.9630523,0,3.2612829,94.867279,-1.5395775,-107.2438,1524.2754,0
126,13600000000,5.994113,0,3.0025072,98.434921,-1.7975906,-102.07807,862.94684,0
127,13700000000,10.706262,0,3.1079431,94.771782,-1.618281,-105.79814,3122.1194,0
128,13800000000,6.4171486,0,3.3572798,93.151878,-1.4006181,-109.18034,980.90436,0
129,13900000000,6.8022833,0,3.1027713,93.029091,-1.7235771,-108.84043,1098.7572,0
130,14000000000,9.8032761,0,2.9656811,93.106415,-1.5821981,-108.38602,2481.5684,0
131,14100000000,6.990799,0,2.9787664,92.844772,-1.5026208,-108.82293,1160.3668,0
132,14200000000,9.2511978,0,2.8945913,92.644745,-1.5106255,-108.95512,2150.719,0
133,14300000000,10.879827,0,2.8855345,92.33712,-1.5413709,-108.9356,3261.2454,0
134,14400000000,6.0485826,0,2.8868988,91.807777,-1.4124391,-110.07117,877.49829,0
135,14500000000,11.400443,0,2.8073056,91.445068,-1.4171853,-110.96695,3713.5232,0
136,14600000000,8.2495165,0,2.6678939,91.262642,-1.5911579,-110.67069,1647.9814,0
137,14700000000,8.2228022,0,2.6461275,90.855522,-1.5265971,-111.09815,1636.0972,0
138,14800000000,10.906456,0,2.599273,90.414146,-1.525583,-111.49285,3283.0869,0
139,14900000000,7.3214893,0,2.5615401,90.037651,-1.533047,-111.76351,1275.1174,0
140,15000000000,9.4842062,0,2.4948721,89.656136,-1.5575563,-112.23027,2285.2456,0
141,15100000000,11.13133,0,2.4205816,89.428047,-1.5998143,-112.37968,3472.9722,0
142,15200000000,6.6144662,0,2.3745997,89.152458,-1.5842651,-112.68848,1039.9784,0
143,15300000000,10.526735,0,2.3105931,88.827034,-1.6048868,-112.82172,2983.946,0
144,15400000000,9.7094564,0,2.320668,88.423805,-1.5910515,-113.12804,2422.3369,0
145,15500000000,7.3458667,0,2.2538607,88.033348,-1.5603884,-113.94995,1283.9274,0
146,15600000000,10.754277,0,2.1802399,87.704399,-1.6016908,-114.03839,3160.053,0
147,15700000000,7.7422218,0,2.1414723,87.371841,-1.6128502,-114.49475,1434.3291,0
148,15800000000,8.4788847,0,2.0448139,87.169693,-1.6440699,-114.66926,1753.0853,0
149,15900000000,10.262508,0,2.004236,86.844063,-1.6644099,-114.87212,2790.696,0
150,16000000000,7.1761131,0,1.9840882,86.564644,-1.6438211,-115.34657,1223.5938,0
151,16100000000,9.3383265,0,1.9044533,86.311783,-1.6665429,-115.43684,2200.1797,0
152,16200000000,9.3066511,0,1.8895626,85.92836,-1.6686062,-115.87601,2182.083,0
153,16300000000,7.263886,0,1.8153507,86.134331,-1.673105,-116.09524,1254.4952,0
154,16400000000,10.607831,0,1.7525802,85.573395,-1.7130016,-116.11053,3045.655,0
155,16500000000,9.3692036,0,1.7664993,85.391808,-1.7338649,-116.44154,2217.9465,0
156,16600000000,8.3062773,0,1.6984471,85.562889,-1.5878313,-116.21612,1673.4764,0
157,16700000000,9.8167868,0,1.6273149,84.694786,-1.5957061,-117.54909,2490.2043,0
158,16800000000,8.3882036,0,1.6188293,84.219894,-1.6848667,-117.61669,1710.8677,0
159,16900000000,9.1461525,0,1.5251846,84.139481,-1.7017366,-117.56896,2092.3921,0
160,17000000000,10.94536,0,1.4832944,83.792519,-1.7265809,-117.74906,3315.239,0
161,17100000000,7.3555818,0,1.510172,83.715782,-1.6302834,-118.47064,1287.4521,0
162,17200000000,12.072,0,1.4428673,83.695038,-1.5639889,-118.26331,4383.0229,0
163,17300000000,10.813912,0,1.3665799,82.933784,-1.7275572,-118.6881,3207.7539,0
164,17400000000,6.7926617,0,1.3268428,82.755493,-1.6820668,-119.239,1095.6838,0
165,17500000000,12.288346,0,1.2523339,82.569061,-1.7116936,-119.06155,4621.709,0
166,17600000000,10.664186,0,1.2461963,82.19313,-1.7268608,-119.73178,3089.2219,0
167,17700000000,8.0848513,0,1.1442665,83.153824,-1.5564454,-118.16076,1575.8776,0
168,17800000000,12.393637,0,1.1412168,81.766418,-1.647243,-119.89336,4742.2441,0
169,17900000000,9.3463497,0,1.1721507,81.083855,-1.7063999,-120.36403,2204.7839,0
170,18000000000,9.5222712,0,1.0776399,81.18515,-1.6596677,-120.97273,2307.916,0
